# High-quality Arabidopsis PPIs dataset, a total of 11858 PPIs.
Protein1	Protein2
Q2V3B2	Q94CL9
F4KAB8	Q0WVF5
F4KAB8	P43299
F4KAB8	Q9LPD9
P25859	Q9LKZ3
Q9M7Q7	Q9ZW35
Q9LVN7	Q9M7Q7
O48520	Q9M7Q7
Q9SKI4	Q9ZQ19
Q0WLZ8	Q8W4M7
Q9SGW3	Q9SIV2
Q9M9L0	Q9ZRZ8
Q9M9L0	Q9STS3
P24100	Q9ZPW2
Q8LPL5	Q9ZPW2
Q8H1U4	Q8H1U5
Q8H1U5	Q8L3Z8
Q8L3Z8	Q9C827
Q8H1U5	Q8VZS9
Q8L719	Q8VZS9
Q8VZS9	Q9ZPW2
P28769	Q8VZS9
Q84WV1	Q8VZS9
Q9SF16	Q9SZA4
B3DNN5	Q9SZA4
O23249	Q8LPL5
P28769	Q8LPL5
O80653	Q8LPL5
B3DNN5	Q9C9M7
P24100	Q93Y35
P24100	Q9FZE1
P24100	Q9FPJ8
P24100	Q8GXS3
O48844	P24100
P24100	Q9SEI4
O04019	Q8LF80
Q2V419	Q9LUW6
Q2V419	Q940X9
Q41969	Q8LG64
Q8LG64	Q9LUW6
Q8LG64	Q9C774
Q41969	Q8W4P1
Q41969	Q9C9M7
Q94A34	Q9C9M7
Q9C9M7	Q9FXA2
O49299	Q9LMT0
O23249	Q0WNX9
A2RVS6	Q9CAG1
Q39071	Q93Y35
Q39071	Q9C5U3
Q38819	Q39172
Q38819	Q9LVN7
Q38819	Q38884
Q38819	Q8LE47
Q38819	Q9FVT2
Q05431	Q38819
Q38819	Q9LPD2
P25859	Q38819
A0MEB5	Q8RX66
A0MEB5	Q56XG6
A0MEB5	P34790
A0MEB5	Q42406
A0MEB5	Q96291
Q9FMH5	Q9SJJ5
Q9FMH5	Q9ZRZ8
P24100	Q9FMH5
P38557	Q39069
Q3ECW2	Q93Y35
O23249	Q9LDM4
Q39070	Q9SVM8
Q39070	Q9LET7
Q2V419	Q39070
O23249	Q9FGQ7
P42752	Q9LUW6
Q94CL9	Q9ZR04
P25859	Q8LGA1
Q8W5S1	Q9LFT8
Q8W4P1	Q8W5S1
Q9FNY0	Q9MAK9
Q9LU93	Q9SB63
F4KAB8	O80786
F4KAB8	Q96321
Q8W4M7	Q8W5S1
Q8LF41	Q8W4M7
O22173	Q8L4H0
Q9CA67	Q9SYX1
Q6NKS4	Q9CA67
Q93ZY2	Q9SCZ4
Q38919	Q9SCZ4
O22929	Q9FG38
F4K657	O22929
O48724	Q9C9N6
Q9FFA7	Q9FN03
Q9FN03	Q9LTJ6
Q9FNP4	Q9ZNX9
B9DFS6	Q9FG38
B9DFS6	Q8L5Z7
Q8L5Z7	Q9FG38
F4J8D3	O04209
O22476	Q9LM25
O22467	Q8LGH4
Q9LPR8	Q9SLH3
Q38829	Q9XFM0
C0Z2L5	O81002
Q9LDI3	Q9LKW9
Q8H1G6	Q9LSF1
O80719	Q9SYB9
O80719	Q9SV69
O80719	Q9LSF1
O80719	Q39026
O80719	Q39023
Q39023	Q9LSF1
Q39026	Q9LSF1
O22607	Q9M0V3
O22607	P93831
O22607	O49552
Q9C518	Q9FME4
Q9FME4	Q9SZI2
A4D998	Q8GZ13
Q8S8P5	Q93VB2
Q5M759	Q9LHG8
Q9FFY6	Q9LHG8
Q9LHG8	Q9SCP9
Q3EBL9	Q9LHG8
Q8GXN6	Q9LHG8
Q9FFY6	Q9SCP9
Q5M759	Q9FF81
Q9FF81	Q9FFY6
O65421	Q9LHG8
O65421	Q9FFY6
Q5M759	Q9FFY6
O65421	Q0WTY4
O65421	Q9SCP9
Q9S9T7	Q9SCP9
Q5M759	Q9S9T7
Q9SCP9	Q9SKI2
Q8GXN6	Q8VZC9
Q5M759	Q8VZC9
Q8VZC9	Q9FY89
Q9FF81	Q9LHG8
Q9FF81	Q9SKI2
Q8GXN6	Q9FF81
Q9FF81	Q9FY89
Q0WTY4	Q8VZC9
Q8GXN6	Q9FY89
O82197	Q8GXN6
O82197	Q9FY89
Q9FY89	Q9SZE4
O82197	Q9SZE4
Q9S9T7	Q9SKI2
Q9FFB3	Q9SKI2
Q8GXN6	Q941D5
Q941D5	Q9FY89
O82197	Q941D5
Q941D5	Q9SZE4
Q8GXN6	Q9FFB3
Q8GXN6	Q9SZE4
Q9FFB3	Q9FY89
O82197	Q9FFB3
Q9FFB3	Q9SZE4
Q39255	Q9SHY1
P93831	Q9SHY1
F4I878	O64728
Q8W4I5	Q9M374
Q8W4I5	Q9C995
O82503	Q9SUQ2
Q9C995	Q9SUE3
O82503	Q9SUE3
O82339	Q9SUE3
Q9SUE3	Q9SUQ2
Q9FK12	Q9SUE3
Q9C995	Q9M374
Q9C995	Q9FK12
Q9C995	Q9SUQ2
O82339	Q9M374
O82339	Q9SUQ2
O82339	Q9C995
O82339	Q8W4I5
Q8W4I5	Q9SUE3
Q9M374	Q9SUE3
Q8W4I5	Q9FK12
Q9FK12	Q9M374
O82339	Q9FK12
Q9FK12	Q9SUQ2
Q8W4I5	Q9SUQ2
Q9M374	Q9SUQ2
O82503	Q9FK12
O82339	O82503
O82503	Q9C995
Q8L9T7	Q9FK12
Q8L9T7	Q9SUQ2
Q9SAZ5	Q9SUQ2
Q9SUQ2	Q9ZNV9
O82339	Q9LU15
Q9C995	Q9LU15
O82339	Q9SAZ5
O82339	Q9ZNV9
O82339	Q9ZNV8
Q9C995	Q9SAZ5
Q9C995	Q9ZNV8
Q8L9T7	Q8W4I5
Q9C995	Q9ZNV9
O49397	Q9M374
Q8W4I5	Q9LU15
Q8W4I5	Q9ZNV9
Q9LU15	Q9M374
Q9M374	Q9SAZ5
Q8L9T7	Q9M374
Q9M374	Q9ZNV8
Q9FK12	Q9SAZ5
Q9LU15	Q9SUE3
Q9SAZ5	Q9SUE3
Q9SUE3	Q9ZNV8
Q9FK12	Q9ZNV9
O82503	P62598
Q9M374	Q9ZNV9
O82339	Q8L9T7
Q8L9T7	Q9SUE3
P62598	Q9SUQ2
Q9SUQ2	Q9ZWS7
Q9LU15	Q9SUQ2
O82503	Q9LU15
O82503	Q9SAZ5
O82503	Q8L9T7
O82503	Q9ZNV8
O82503	Q9M374
O82503	Q9ZWS7
Q8L9T7	Q9C995
Q8W4I5	Q9SAZ5
Q9SUE3	Q9ZNV9
Q9FK12	Q9LU15
Q8W4I5	Q9ZNV8
O82503	Q9ZNV9
O82503	Q8W4I5
Q38828	Q94JM3
Q8RYC6	Q94JM3
Q94JM3	Q9C5X0
P33077	P93024
P33078	Q9ZTX9
Q38825	Q9ZTX9
P93830	Q9ZTX9
Q9C5X0	Q9ZTX9
P49678	P93024
O24407	P93024
P93024	P93830
O24408	P93024
P93024	Q9C966
P33078	P93024
P93024	Q38826
P93024	Q38828
P93024	Q38829
P93024	Q38825
P49678	Q9ZTX8
P49677	Q9ZTX8
Q9C5W9	Q9ZTX8
Q9XED8	Q9ZTX8
P93024	Q9C5X0
P93024	Q9FKM7
O24410	P93024
P93024	Q8H174
P93024	Q9M1R4
P93024	Q93WC4
P93024	Q9XFM0
P93024	Q9ZSY8
P93024	Q8RYC6
Q93WC4	Q9ZTX8
Q38822	Q9ZTX8
Q9ZSY8	Q9ZTX8
O24410	Q9ZTX8
O24408	Q9ZTX8
P93830	Q9ZTX8
O24407	Q9ZTX8
Q9C966	Q9ZTX8
Q38831	Q9ZTX8
Q38829	Q9ZTX8
Q38828	Q9ZTX8
Q38827	Q9ZTX8
Q38826	Q9ZTX8
Q38825	Q9ZTX8
P33077	Q9ZTX8
Q9XFM0	Q9ZTX8
Q9M1R4	Q9ZTX8
P93022	Q38829
P93022	Q38828
P93022	Q38826
P33077	P93022
P93022	Q38822
P49678	P93022
Q9C5X0	Q9ZTX8
Q9FKM7	Q9ZTX8
Q8RYC6	Q9ZTX8
Q8H174	Q9ZTX8
P93022	Q38830
P93022	Q8RYC6
P93022	Q9XFM0
P93022	Q9ZSY8
O24410	P93022
P93022	P93830
O24407	P93022
P93022	Q9C966
Q38825	Q9FGV1
P33077	Q9FGV1
Q38822	Q9FGV1
P49678	Q9FGV1
P93022	Q93WC4
Q8H174	Q9FGV1
Q38826	Q9FGV1
Q93WC4	Q9FGV1
Q9FGV1	Q9XFM0
Q9FGV1	Q9ZSY8
O24410	Q9FGV1
O24408	Q9FGV1
P93830	Q9FGV1
O24407	Q9FGV1
Q9C966	Q9FGV1
Q38830	Q9FGV1
Q38828	Q9FGV1
Q9FGV1	Q9M1R4
O24408	Q9XED8
P93830	Q9XED8
Q38828	Q9XED8
Q8RYC6	Q9FGV1
Q9FKM7	Q9SKN5
Q8RYC6	Q9SKN5
Q9XED8	Q9XFM0
Q9C5X0	Q9XED8
Q8RYC6	Q9XED8
Q9C5W9	Q9C5X0
Q9C5W9	Q9FKM7
Q93YR9	Q9FKM7
P33078	Q93YR9
P33077	Q8RYC8
P49678	Q8RYC8
P49677	Q8RYC8
P93830	Q8RYC8
O24407	Q8RYC8
P33078	Q8RYC8
Q38831	Q8RYC8
Q38830	Q8RYC8
Q38828	Q8RYC8
Q38826	Q8RYC8
Q38825	Q8RYC8
Q9C7I9	Q9FKM7
P33078	Q9C7I9
Q8RYC8	Q9C5X0
Q8RYC6	Q8RYC8
Q8RYC8	Q93WC4
Q8RYC8	Q9XFM0
O24409	Q8RYC8
Q8RYC8	Q9FKM7
P33078	P49677
P33077	P49677
P49677	Q38822
P49677	P49678
Q9C5X0	Q9C8N7
Q8RYC6	Q9C8N7
P49677	Q9XFM0
P49677	Q9ZSY8
O24409	P49677
O24408	P49677
P49677	Q38825
O24407	P49677
P49677	Q9C966
P49677	Q38832
P49677	Q38827
P49677	Q38826
P49677	P93830
O24410	P49678
P49678	P93830
O24407	P49678
P49678	Q9C966
P49678	Q38832
P49678	Q38828
P49677	Q9C5X0
P49678	Q38826
P33078	P49678
P33077	P49678
P49678	Q38822
P49678	Q38827
Q38822	Q38832
Q38822	Q38831
Q38822	Q38830
Q38822	Q38827
Q38822	Q38826
P33078	Q38822
P33077	Q38822
P49678	Q9C5X0
P49678	Q9XFM0
P49678	Q9ZSY8
Q38822	Q9C5X0
Q38822	Q8H174
Q38822	Q9XFM0
Q38822	Q9ZSY8
O24410	Q38822
O24409	Q38822
O24408	Q38822
P93830	Q38822
O24407	Q38822
Q38822	Q9C966
O24409	P33077
O24408	P33077
P33077	P93830
O24407	P33077
P33077	Q9C966
P33077	Q38832
P33077	Q38831
P33077	Q38830
P33077	Q38829
P33077	Q38828
P33077	Q38827
P33077	Q38826
P33077	P33078
P33078	Q38831
P33078	Q38828
P33078	Q38826
P33077	Q9C5X0
P33077	Q9XFM0
P33077	Q9ZSY8
O24410	P33077
P33078	Q8H174
P33078	Q9XFM0
P33078	Q9ZSY8
O24410	P33078
O24409	P33078
P33078	P93830
O24407	P33078
P33078	Q9C966
P33078	Q38832
Q38825	Q38831
Q38825	Q38830
Q38825	Q38828
Q38824	Q9C5X0
Q38824	Q9ZSY8
P93830	Q38824
P33078	Q9C5X0
Q38826	Q38827
Q38825	Q9C5X0
Q38825	Q9M1R4
Q38825	Q9XFM0
O24410	Q38825
O24408	Q38825
Q38826	Q9C5X0
Q38826	Q9XFM0
Q38826	Q9ZSY8
O24410	Q38826
O24409	Q38826
O24408	Q38826
P93830	Q38826
O24407	Q38826
Q38826	Q9C966
Q38826	Q38830
Q38826	Q38828
Q38827	Q8LAL2
O24409	Q38827
P93830	Q38827
O24407	Q38827
Q38827	Q9C966
Q38827	Q38831
Q38827	Q38828
Q38828	Q9ZSY8
O24409	Q38828
O24408	Q38828
P93830	Q38828
O24407	Q38828
Q38828	Q9C966
Q38827	Q9C5X0
Q38827	Q9XFM0
Q38827	Q9ZSY8
Q38830	Q38832
Q38830	Q38831
O24409	Q38829
O24407	Q38829
Q38828	Q9C5X0
Q38828	Q8H174
Q38828	Q9XFM0
Q38831	Q9C966
Q38831	Q38832
Q38830	Q8H174
Q38830	Q9XFM0
O24410	Q38830
O24409	Q38830
O24408	Q38830
P93830	Q38830
O24407	Q38830
Q38830	Q9C966
Q38832	Q9ZSY8
Q38832	Q8LAL2
O24409	Q38832
P93830	Q38832
Q38831	Q9C5X0
Q38831	Q9ZSY8
O24409	Q38831
P93830	Q38831
O24407	Q38831
O24410	Q9C966
O24409	Q9C966
O24408	Q9C966
P93830	Q9C966
O24407	Q9C966
Q38832	Q9C5X0
Q38832	Q9XFM0
O24407	Q9XFM0
O24407	Q9ZSY8
O24407	Q8LAL2
O24407	O24409
O24407	O24408
O24407	P93830
Q9C5X0	Q9C966
Q8RYC6	Q9C966
P93830	Q8LAL2
O24410	P93830
O24409	P93830
O24408	P93830
O24407	Q9C5X0
O24407	Q9FKM7
O24407	Q8H174
O24408	Q8H174
O24408	Q9XFM0
O24408	Q9ZSY8
O24408	O24410
P93830	Q9C5X0
P93830	Q8H174
P93830	Q9XFM0
P93830	Q9ZSY8
Q8LAL2	Q9XFM0
O24410	Q9C5X0
O24410	Q9FKM7
O24410	Q8RYC6
O24410	Q9XFM0
O24409	Q9C5X0
O24409	Q8H174
O24409	Q9XFM0
O24409	Q8LAL2
Q9C5X0	Q9ZSY8
Q9FKM7	Q9ZSY8
Q8H174	Q9ZSY8
Q9XFM0	Q9ZSY8
Q8LAL2	Q9C5X0
Q8H174	Q9XFM0
Q8H174	Q9C5X0
Q9FKM7	Q9XFM0
Q9C5X0	Q9XFM0
Q9C5X0	Q9FKM7
P93830	Q9C5W9
Q38826	Q9XED8
Q9LTX2	Q9XFM0
Q570C0	Q9XFM0
Q9XFM0	Q9ZR12
Q9FML2	Q9LMA8
O24606	Q9LMA8
O24606	Q9FML2
O04211	O82804
O82804	Q9SNB4
O04211	Q9SNB4
P30302	Q9ZVX8
Q9SQR2	Q9SVQ9
Q9C8Z9	Q9LXG5
O23171	Q9LFT6
Q9M012	Q9SIY7
Q67ZB3	Q940H8
Q08733	Q9SV31
Q8GWB3	Q93VH1
Q8L7H4	Q9FX31
Q93Z00	Q9SLK2
P27202	Q8VZW1
Q8VZW1	Q94AJ5
Q84MB2	Q84VX3
Q93Z00	Q9S7W5
Q8VZW1	Q9LDU6
P30302	Q08733
P93004	Q8VZ95
P43273	Q8LF89
O04204	Q8LEQ0
Q84W04	Q8VZ95
Q6ID77	Q8RXD6
Q8VZW1	Q9FFK1
Q94F58	Q9LVC0
P93002	Q9LUA3
Q8VZW1	Q9LPF1
P82874	Q94F58
P92958	Q9LVG2
Q94F58	Q9FI10
P92978	Q93ZY2
Q946Y7	Q9SA23
A1L4Y9	Q8L3X8
B9DFG5	Q9SV69
O04130	O49485
O04294	O65154
O04204	Q8LCW9
O04294	O80837
O04294	Q9LNW0
O04450	Q94K05
O04663	Q93ZT6
O04834	Q8LAZ7
O04834	Q9FVU9
O22265	Q8H1G0
O22287	Q9C9P3
O23138	Q8LAZ7
O23212	Q42404
O23212	Q9FMY5
O23310	Q8VY64
O23310	Q84JP1
O23310	Q9LN09
O23310	Q93ZH2
O23310	Q9LHG0
O23310	Q9ZVL3
O23710	O81147
O24407	Q94AI7
O24466	Q8VZW1
O48533	Q8L3Z8
O48741	Q8VZW1
O49627	Q9LPR8
O22286	O49653
O64503	Q8VZW1
O64511	Q8RWE8
O64645	P29382
O64740	Q8LAZ7
O80397	Q17TI5
O80397	Q42583
O80397	Q0WLB5
O80397	Q9FVU9
O80567	P42731
O80533	Q38822
O80582	Q9FHW7
O80594	Q8VZW1
O80678	Q9LES2
O80860	Q8LAZ7
O80902	Q38829
O80902	Q84JL3
O80902	Q8H0T5
O81027	Q9FMA3
O81147	Q7DLS1
O82481	Q8LAZ7
O82481	Q8VYU8
O82481	Q9FVU9
O82754	Q9SIF2
O82799	Q17TI5
P0CJ46	P0CJ47
P0CJ46	P53492
P0CJ46	Q9LV35
P0CJ46	Q96292
P0CJ47	Q9LV35
P11574	Q42525
O48741	P21218
P25071	Q96331
P25818	P26587
P26587	Q8VZW1
P28186	Q8LA96
P28186	Q8VZW1
P30302	Q8LAA6
P30302	Q8VZ95
P30302	Q8VZW1
P30302	Q9SV31
P31166	Q9SUW2
P31582	Q8VZW1
P35132	Q8LPN7
P35132	Q9LN67
P42742	Q8LAZ7
P42804	Q9LU39
O82255	P43273
O04341	P43273
P43273	Q8L746
P43273	Q8L9S3
P43273	Q8VYD2
O22922	P43333
P46032	Q8VZW1
P46601	P46602
P46602	P46604
P46604	Q05466
P49677	Q38824
P49677	Q94AI7
O24408	P49678
P49678	Q5XEN5
P49688	Q93VB4
P51430	Q94K07
P51430	Q9SZI2
P53492	P53496
P53492	P53497
P53492	Q9LV35
P53496	Q96292
P53799	Q8VZW1
P59229	Q8VZW1
P59259	Q9LS09
P30302	P61837
P61837	P93004
O80345	P92958
P93002	Q9FNZ5
P93004	Q08733
P30302	P93004
P93004	Q39196
P93004	Q8LAA6
P93004	Q8VZW1
P93004	Q9SV31
P93004	Q9ZVX8
P93004	Q9ZV07
P93749	Q9SV69
P93832	Q5XF32
Q01474	Q9FVU9
Q03250	Q8LAZ7
Q04996	Q8LA53
P46601	Q05466
P46602	Q05466
Q05999	Q17TI5
P93004	Q06611
Q06611	Q9SV31
Q06611	Q9ZV07
Q06611	Q9ZVX8
Q08733	Q9ZV07
Q08733	Q9ZVX8
O24457	Q38799
P52901	Q38799
Q38819	Q9STS3
P49678	Q38825
Q38822	Q38825
Q38825	Q38829
Q38825	Q94AI7
Q38824	Q38828
Q38828	Q8LA53
Q38828	Q94AI7
P49678	Q38829
Q38822	Q38829
Q38826	Q38829
Q38829	Q9ZSY8
P29382	Q38836
Q38845	Q9XGR4
P29382	Q38876
Q38935	Q8VZW1
Q38845	Q39023
Q39023	Q84JP1
Q39023	Q8LGS1
Q39023	Q8VZG1
Q39163	Q8L746
P30302	Q39196
Q39196	Q9SV31
Q39196	Q9ZVX8
Q39255	Q8GX77
Q39255	Q94A64
Q39255	Q9FMW7
Q39255	Q9M2Z5
Q39255	Q9T031
Q39266	Q9S7W5
Q41951	Q8VZW1
Q41969	Q8LAZ7
Q41975	Q8VZ95
Q41975	Q8VZW1
Q42342	Q8VZW1
Q42536	Q93XX2
O22286	Q42551
Q42551	Q9C5J7
Q42563	Q9LFP0
Q42563	Q9SUW2
Q42601	Q9LVW7
Q56ZZ7	Q8VZW1
Q5XF36	Q8VZ95
Q17TI5	Q681Q7
Q6NLH0	Q8LAZ7
Q6NLH0	Q84MB2
Q6NPD4	Q93VH1
O22229	Q6NPF9
Q6NPF9	Q8W4M1
Q6NQ54	Q94BV2
Q6NQE2	Q9LUX9
Q84JH7	Q9M000
Q84JL3	Q8S3N1
Q84JM4	Q9SK03
Q84L31	Q9SIV2
Q17TI5	Q84MD6
P35131	Q84ME1
Q84ME1	Q9FWT2
Q84TI6	Q8GUN2
Q84W04	Q8VZW1
O82734	Q84WJ9
Q84WJ9	Q9M9W3
Q84Y95	Q9FIC3
Q17TI5	Q852U6
Q8GUI6	Q9SQX9
Q8GWI1	Q9M339
Q8GWI1	Q9SIP7
Q8GWT5	Q8VZW1
Q8GXL7	Q8H1G0
Q56WN1	Q8GXW5
Q39237	Q8GYE4
F4JS25	Q9SUR9
F4JS25	Q9SUT5
Q8GZ22	Q9SEI4
Q8GXL7	Q8H0V5
Q38824	Q8H174
Q8H174	Q93YR9
Q93ZT6	Q9FK59
O81313	Q8H7F6
Q38845	Q8L4M1
P46639	Q8L5Y6
O49627	Q8L7K4
Q8L7N0	Q94K05
Q8L856	Q8VZW1
Q8L8W6	Q94K07
Q8L8W6	Q9SZI2
O22179	Q8L9Y3
Q84MB2	Q8L9Y3
Q84JZ7	Q8LAA6
Q8LAA6	Q8VZW1
Q8LAA6	Q9SV31
Q8LAA6	Q9ZV07
Q8LAA6	Q9ZVX8
Q8LAS7	Q94C40
Q8LAS7	Q9C562
Q8LAS7	Q9T0I8
Q8LBK6	Q9FIC3
Q8LBM2	Q94AI7
Q8LBK6	Q8LBM4
Q8LFC0	Q945K7
Q8LG98	Q9FZ48
Q03509	Q8RWB8
Q8RX32	Q9ZW15
Q8RX32	Q9ZW14
Q8RX32	Q9ZW18
O81316	Q8LAJ7
Q8LAJ7	Q9FL03
O04719	Q8S8E3
Q8VY74	Q9SJA6
Q17TI5	Q7XJU2
Q7XJU2	Q93Z00
Q7XJU2	Q9C9L2
Q7XJU2	Q9S7W5
Q8L3X8	Q8VYA5
Q8VZ55	Q9SZI2
Q8VZ95	Q8VZW1
Q8VZ95	Q940Y1
Q39026	Q8VZG1
Q8VZU2	Q8VZW1
Q8W0Z9	Q9S9P2
Q8W0Z9	Q9SAI2
Q8W1P0	Q94JU3
Q8W4F0	Q93Z00
F4KGQ0	Q9LF98
Q6IDC7	Q8W4H7
O22287	Q8W4J5
Q8W4J5	Q9C9P3
Q8W4J8	Q9LQT8
Q8W4J8	Q9SLH3
O04663	O82233
Q93VB4	Q93VB8
Q93W34	Q9LX90
Q8VZW1	Q93W54
Q7XJU2	Q93Y00
Q93Z00	Q9LT89
Q17TI5	Q93ZM2
Q93ZT5	Q9SY65
O04450	Q940P8
O81055	Q94A64
Q94A64	Q9FHW7
O64645	Q94AI7
P49678	Q94AI7
Q38829	Q94AI7
Q6X7J9	Q94AI7
Q93WJ9	Q94AI7
Q38829	Q94AY3
Q8LAS7	Q94CG0
Q94ID6	Q9C9L2
Q94ID6	Q9FIR9
Q94ID6	Q9LVG2
Q94K05	Q9SF16
Q96291	Q9C5R8
P53497	Q96292
O22286	Q96321
O80837	Q96321
Q96292	Q96321
Q8LAZ7	Q9AST1
Q9AST5	Q9M898
F4JL11	P53492
Q9ASW4	Q9LZ82
Q9AT61	Q9SHE9
Q9C4Z6	Q9SVW8
Q0WLB5	Q9C5C0
Q9C5C0	Q9LQT8
Q9C5C0	Q9SLH3
Q9C5C0	Q9XGR4
Q38845	Q9C5J9
Q9C7G6	Q9M000
Q8VZW1	Q9C820
Q8GY61	Q9C8Z9
Q93VJ4	Q9C8Z9
Q96292	Q9C958
Q9CA36	Q9FFS3
Q8VZW1	Q9CAB6
Q93ZT6	Q9CAI7
Q0WLB5	Q9CB01
Q8LAZ7	Q9FF09
O80837	Q9FFA5
Q8VZ95	Q9FFK1
Q0WLB5	Q9FFS8
Q9FFV2	Q9FGU1
Q9FGM1	Q9SN12
Q84JL3	Q9FGW5
Q9FH99	Q9FHW7
Q9FH99	Q9LNT9
Q9FHW7	Q9FLX3
Q9FHW7	Q9FMW7
Q9FHW7	Q9LX51
Q9FHW7	Q9M2Z5
Q9FHW7	Q9T031
Q9FIC3	Q9ZPH2
Q9FIL6	Q9LIK0
Q9FIL6	Q9S7U9
Q8GWR3	Q9FIU6
Q9FIU6	Q9FVU9
Q9FIW9	Q9LQW3
Q9FK60	Q9LD47
O04719	Q9FLB1
O64511	Q9FLP9
Q8H176	Q9FM97
Q84ME1	Q9FMM0
Q8LG98	Q9FMM0
Q8L3X8	Q9FMY5
Q8L746	Q9FNZ5
Q8VZW1	Q9FRL3
Q93Z00	Q9FTA2
Q9FTA2	Q9LT89
Q9FVS1	Q9LNT9
Q9FVT2	Q9SI20
Q93YP0	Q9FZ48
Q9CAB6	Q9FZ48
Q9FKD7	Q9FZ48
Q9FZ48	Q9SVD7
Q9LD95	Q9LQT8
Q9FHW7	Q9LDE3
Q9LDI3	Q9LIK0
Q94AI7	Q9LDU5
P31166	Q9LFP0
Q9LFP0	Q9SUW2
Q94AZ4	Q9LHE9
Q9LHG0	Q9SIT9
Q9LHT0	Q9ZW19
O81055	Q9LIR8
Q39057	Q9LJB7
Q9C7E8	Q9LJB7
Q84JZ7	Q9LK55
Q8GY72	Q9LM76
Q9LMA8	Q9LNJ5
Q8H156	Q9LMK7
O80345	Q9LMT0
Q9FWY7	Q9LMT0
Q8H1G0	Q9LNJ5
Q8LBM2	Q9LNJ5
Q93ZM9	Q9LNJ5
Q9FHW7	Q9LPL4
P42644	Q9LQF2
Q96300	Q9LQF2
Q84JL3	Q9LRP3
Q9FMA3	Q9LRR9
Q8LAZ7	Q9LT56
Q8LAZ7	Q9LTF2
Q0WLB5	Q9LTF2
Q9LTF2	Q9SK33
Q38950	Q9LU89
Q38951	Q9LU89
O81055	Q9LUS6
Q9FHW7	Q9LUS6
Q9LUT0	Q9SV69
Q940P8	Q9LV21
P49677	Q9LV27
Q05762	Q9LV27
Q84MB2	Q9LV27
Q9LV28	Q9SVW8
P53497	Q9LV35
O82239	Q9LVG2
Q17TI5	Q9LVG2
Q94AI7	Q9LVG2
Q9LVG2	Q9LVI4
Q93ZX1	Q9LVQ0
Q8LCW9	Q9LXM8
O80575	Q9LZW4
Q9LIK0	Q9LZW4
Q8LAK5	Q9M1Z3
Q8LFL8	Q9M1Z3
Q9M1Z3	Q9SI54
Q9M1Z3	Q9ZV45
Q9M2Z5	Q9SL93
Q08682	Q9M337
Q8LAZ7	Q9M8U1
O64903	Q9M8U1
Q8VZ95	Q9M9S6
Q8VZW1	Q9M9S6
O04019	Q9MAK9
O22179	Q9MAM1
Q17TI5	Q9MAM1
Q9LTB8	Q9MAM1
Q94B71	Q9S736
Q05466	Q9S7W5
Q84MB2	Q9SA94
Q93VI4	Q9SAB3
Q9LX90	Q9SAB3
Q8GWF1	Q9SAH7
Q9FL03	Q9SAK5
Q9SEI2	Q9SEI3
Q8H1G0	Q9SGA0
Q8VZW1	Q9SHI7
Q8LAK5	Q9SI54
Q8LFL8	Q9SI54
Q9SI54	Q9ZV45
Q17TI5	Q9SJA8
Q93VJ4	Q9SJH0
Q8GY61	Q9SKX1
Q93VJ4	Q9SKX1
Q9SKX1	Q9SZI2
Q94CD5	Q9SL04
Q6NKX3	Q9SL93
Q8GXW6	Q9SL93
P93030	Q9SLE4
Q84ME1	Q9SLE4
Q8LPN7	Q9SLE4
Q9LN67	Q9SLE4
O04421	Q9SMU7
Q8LA96	Q9SN35
P42644	Q9SN43
Q01525	Q9SN43
Q96300	Q9SN43
Q93Y00	Q9SN74
Q9C9L2	Q9SN74
Q9C8P0	Q9SQI8
A8MS68	Q9SQI8
Q84MB2	Q9SQU6
Q9LIK0	Q9SRH7
Q8LAZ7	Q9SU67
Q93ZY2	Q9SU67
Q8LAK5	Q9SUM2
Q9SUM2	Q9ZV45
P61837	Q9SV31
Q9FKD7	Q9SVD7
Q9LQ95	Q9SVD7
Q8LAZ7	Q9SW09
Q96331	Q9SX52
Q9LIK0	Q9SY91
Q96331	Q9SZM3
Q8LAZ7	Q9T0G2
Q38824	Q9XFM0
O22703	Q9XFR5
P92966	Q9XFR5
Q42404	Q9XFR5
Q9FHW7	Q9ZP59
Q93Z00	Q9ZQ85
P0CJ47	Q9ZSK2
P53492	Q9ZSK2
P53496	Q9ZSK2
P53497	Q9ZSK2
Q96292	Q9ZSK4
O22286	Q9ZSZ8
O65154	Q9ZSZ8
Q17TI5	Q9ZSZ8
Q9FHW7	Q9ZUH0
Q8H1G0	Q9ZVC9
Q9LVI4	Q9ZVC9
Q8GWR3	Q9ZVI3
Q8VZ95	Q9ZVX8
Q8VZW1	Q9ZVX8
Q9SV31	Q9ZVX8
Q9LHT0	Q9ZW16
Q9ZW15	Q9ZW18
Q9LHT0	Q9ZW18
Q9ZW14	Q9ZW18
Q9ZW18	Q9ZW19
O80536	Q8GZM7
Q8GZM7	Q9FE22
Q0WTY4	Q9SZE4
Q0WTY4	Q9LPN5
Q0WTY4	Q9SKI2
Q0WTY4	Q8LE58
O22173	Q0WTY4
Q0WTY4	Q9S9N1
Q0WTY4	Q9SSM4
P22953	Q0WTY4
Q9SM23	Q9SSA8
Q9SSA8	Q9STP8
Q9C5W9	Q9XFM0
Q38831	Q9C5W9
Q38824	Q9ZTX8
Q38830	Q9C5W9
O24409	Q9XED8
O24409	Q9ZTX9
